channel group,Enggaged session,Engagement sessions per user,Engagement  Rate,Average Engagment time per session,Event per session,Bouns Rate,Event count,DateHour,sessions,Users,hours
Organic Social,2024042617,119,140,81,47.42142857,0.680672269,5.678571429,,795,35.53,
Organic Social,2024050120,119,145,88,41.94482759,0.739495798,5,,725,59.75,
Organic Social,2024042317,118,145,75,59.2,0.63559322,4.862068966,,705,38.7,
Organic Social,2024050215,118,155,84,67.25806452,0.711864407,5.316129032,,824,51.2,
Organic Social,2024040723,117,139,63,40.5971223,0.538461538,4.712230216,,655,52.8,
Organic Social,2024041519,117,156,87,72.15384615,0.743589744,5.608974359,,875,31.09,
Organic Social,2024041714,117,129,80,54.37209302,0.683760684,4.744186047,,612,78.18,
Organic Social,2024042812,117,141,71,45.4893617,0.606837607,4.85106383,,684,66.51,
Organic Social,2024041708,116,145,69,25.47586207,0.594827586,4.15862069,,603,76.37,
Organic Social,2024041715,116,147,91,51.59183673,0.784482759,5.707482993,,839,73.69,
Organic Social,2024042215,116,152,78,52.51315789,0.672413793,5.111842105,,777,55.87,
Organic Social,2024042522,116,154,78,42.61038961,0.672413793,4.779220779,,736,75.31,
Organic Social,2024042318,115,131,81,88.13740458,0.704347826,5.877862595,,770,25.31,
Organic Social,2024042520,115,144,78,48.00694444,0.67826087,4.715277778,,679,31.76,
Organic Social,2024042521,115,142,75,45.30985915,0.652173913,4.436619718,,630,22.71,
Organic Social,2024041716,114,136,86,52.22794118,0.754385965,4.742647059,,645,39.52,
Organic Social,2024042611,114,141,82,87.73758865,0.719298246,6.042553191,,852,43.32,
Organic Social,2024042912,113,127,71,63.41732283,0.628318584,5.669291339,,720,36.28,
Organic Social,2024042914,113,143,84,47.21678322,0.743362832,5.321678322,,761,69.72,
Organic Social,2024041709,112,134,71,46.05223881,0.633928571,4.791044776,,642,41.41,
Organic Social,2024042516,112,169,74,29.39053254,0.660714286,4.142011834,,700,36.86,
Organic Social,2024050122,112,140,74,44.49285714,0.660714286,4.814285714,,674,52.56,
Organic Social,2024042310,111,135,83,87,0.747747748,4.97037037,,671,28.46,
Organic Social,2024042811,111,172,84,31.5755814,0.756756757,4.029069767,,693,68.13,
Organic Social,2024041820,110,141,82,54.69503546,0.745454545,5.163120567,,728,24.47,
Organic Social,2024050121,110,130,79,43.26923077,0.718181818,4.707692308,,612,79.21,
Organic Social,2024050221,110,126,75,68.51587302,0.681818182,5.547619048,,699,66.33,
Organic Social,2024050316,110,134,68,54.7761194,0.618181818,5.007462687,,671,31.92,
Organic Social,2024042900,109,154,69,29.45454545,0.633027523,4.266233766,,657,20.33,
Organic Social,2024043019,109,146,72,35.2260274,0.660550459,3.938356164,,575,68.93,
Organic Social,2024050223,109,138,73,30.58695652,0.669724771,4.195652174,,579,62.41,
Organic Social,2024040700,108,152,79,17.58552632,0.731481481,4.026315789,,612,63.74,
Organic Social,2024041514,108,140,68,37.56428571,0.62962963,4.178571429,,585,66.28,
Organic Social,2024042918,108,121,80,99.90909091,0.740740741,5.818181818,,704,24.44,
Organic Social,2024043021,108,117,73,47.52991453,0.675925926,5.051282051,,591,41.51,
Organic Social,2024041518,107,143,71,79.48951049,0.663551402,4.321678322,,618,26.95,
Organic Social,2024041713,107,125,69,43.472,0.644859813,4.408,,551,71.79,
Organic Social,2024042316,107,134,81,70.91044776,0.757009346,5.873134328,,787,57.4,
Organic Social,2024041210,106,130,78,60.88461538,0.735849057,5.046153846,,656,39.85,
Organic Social,2024041500,106,163,56,34.79754601,0.528301887,4.006134969,,653,23.81,
Organic Social,2024042414,106,121,87,89.12396694,0.820754717,5.884297521,,712,38.66,
Organic Social,2024041209,105,124,72,29,0.685714286,4.5,,558,39.51,
Organic Social,2024041511,105,123,78,52.93495935,0.742857143,5.707317073,,702,63.78,
Organic Social,2024041818,105,138,77,78.06521739,0.733333333,4.833333333,,667,58.25,
Organic Social,2024042217,105,134,77,73.91791045,0.733333333,5.641791045,,756,73.23,
Organic Social,2024042311,105,123,82,65.82113821,0.780952381,5.243902439,,645,48.33,
Organic Social,2024050320,105,132,73,50.54545455,0.695238095,5.136363636,,678,27.18,
Organic Social,2024043020,104,132,78,46.58333333,0.75,5.416666667,,715,62.79,
Organic Social,2024050310,104,116,77,70.80172414,0.740384615,5.956896552,,691,65.65,
Organic Social,2024050317,104,126,69,57.4047619,0.663461538,4.261904762,,537,53.68,
Direct,2024041722,103,132,65,34.46212121,0.631067961,3.977272727,,525,66.26,
Organic Social,2024041900,103,183,62,29.81967213,0.601941748,3.224043716,,590,49.63,
Organic Social,2024041915,103,116,69,60.82758621,0.669902913,4.810344828,,558,51.36,
Organic Social,2024042416,103,130,69,60.22307692,0.669902913,5.384615385,,700,45.65,
Organic Social,2024042800,103,171,53,18.59649123,0.514563107,3.315789474,,567,21.53,
Direct,2024040923,102,118,48,36.5,0.470588235,4.559322034,,538,26.47,
Direct,2024042323,102,129,58,37.35658915,0.568627451,4.07751938,,526,21.89,
Organic Social,2024040814,102,126,73,99.47619048,0.715686275,5.26984127,,664,58.18,
Organic Social,2024042500,102,156,54,18.81410256,0.529411765,3.801282051,,593,38.86,
Organic Social,2024043000,102,166,63,20.04216867,0.617647059,3.885542169,,645,50.51,
Organic Social,2024050118,102,136,75,39.23529412,0.735294118,4.676470588,,636,74.45,
Organic Social,2024050311,102,125,74,37.6,0.725490196,4.608,,576,34.96,
Organic Social,2024041521,101,125,59,68.224,0.584158416,5.12,,640,44.62,
Organic Social,2024042218,101,117,72,68.64102564,0.712871287,5.222222222,,611,65.33,
Organic Social,2024042514,101,125,72,38.512,0.712871287,4.656,,582,33.73,
Organic Social,2024042615,101,128,71,65.984375,0.702970297,5.296875,,678,24.62,
Organic Social,2024040815,100,125,70,58.944,0.7,4.896,,612,37.39,
Organic Social,2024041819,100,124,78,39.16129032,0.78,4.185483871,,519,29.67,
Organic Social,2024042214,100,122,71,89.30327869,0.71,5.286885246,,645,75.78,
Organic Social,2024042413,100,124,78,57.82258065,0.78,4.629032258,,574,68.49,
Organic Social,2024042519,100,135,60,27.31111111,0.6,4.251851852,,574,58,
Organic Social,2024042821,100,118,70,55.96610169,0.7,6.161016949,,727,72.29,
Organic Social,2024043014,100,113,70,56.3539823,0.7,5.097345133,,576,68.22,
Organic Social,2024050214,100,114,76,50.78070175,0.76,4.815789474,,549,31.19,
Organic Social,2024040722,99,116,60,28.12931034,0.606060606,5.051724138,,586,73.55,
Organic Social,2024041212,99,117,67,107.4273504,0.676767677,5.008547009,,586,52.36,
Organic Social,2024041710,99,125,69,27.4,0.696969697,4.248,,531,68.45,
Organic Social,2024042312,99,122,66,69.2704918,0.666666667,5.5,,671,73.77,
Organic Social,2024042314,99,114,73,72.97368421,0.737373737,6.035087719,,688,39.08,
Organic Social,2024050123,99,127,73,31.29133858,0.737373737,5.322834646,,676,26.6,
Organic Social,2024040619,98,134,63,77.57462687,0.642857143,4.388059701,,588,33.68,
Organic Social,2024041320,98,108,69,77.42592593,0.704081633,5.287037037,,571,45.63,
Organic Social,2024041520,98,125,63,42.352,0.642857143,4.2,,525,69.08,
Organic Social,2024042612,98,112,74,93.01785714,0.755102041,5.669642857,,635,71.64,
Organic Social,2024042823,98,121,69,73.28099174,0.704081633,6.685950413,,809,20.42,
Direct,2024041119,97,103,48,28.01941748,0.494845361,4.339805825,,447,50.64,
Direct,2024042123,97,114,52,52.74561404,0.536082474,5.228070175,,596,45.04,
Organic Social,2024041421,97,106,66,43.98113208,0.680412371,5.113207547,,542,33.33,
Organic Social,2024042315,97,115,71,70.36521739,0.731958763,6.034782609,,694,27.19,
Organic Social,2024042415,97,125,70,43.168,0.721649485,4.288,,536,40.26,
Organic Social,2024042916,97,127,73,67.4488189,0.75257732,5,,635,76.57,
Organic Social,2024050315,97,122,71,37.29508197,0.731958763,4.827868852,,589,39.39,
Organic Social,2024041115,96,132,68,42.41666667,0.708333333,4.537878788,,599,51.13,
Organic Social,2024041512,96,103,57,41.10679612,0.59375,4.747572816,,489,62.18,
Organic Social,2024041620,96,115,67,68.30434783,0.697916667,5.434782609,,625,41.82,
Organic Social,2024042319,96,123,62,57.42276423,0.645833333,5.552845528,,683,78.31,
Organic Social,2024042418,96,125,70,50.744,0.729166667,5.048,,631,77.75,
Organic Social,2024042822,96,112,66,64.77678571,0.6875,7.482142857,,838,35.11,
Organic Social,2024043022,96,115,65,59.03478261,0.677083333,5.530434783,,636,49.83,
Organic Social,2024050110,96,110,58,60.28181818,0.604166667,5.218181818,,574,38.05,
Organic Social,2024041120,95,112,62,32.0625,0.652631579,4.133928571,,463,37.09,
Organic Social,2024041423,95,113,61,45.67256637,0.642105263,5.318584071,,601,22.21,
Organic Social,2024041813,95,106,79,63.73584906,0.831578947,5.811320755,,616,56.57,
Organic Social,2024042216,95,111,61,56.04504505,0.642105263,5.72972973,,636,50.16,
Organic Social,2024042219,95,121,69,71.18181818,0.726315789,5.347107438,,647,23.09,
Organic Social,2024042313,95,114,68,105.8596491,0.715789474,5.421052632,,618,36.72,
Organic Social,2024042911,95,116,66,46.60344828,0.694736842,4.396551724,,510,74.5,
Organic Social,2024050100,95,151,51,41.74172185,0.536842105,4.364238411,,659,34.37,
Organic Social,2024050220,95,111,75,50.95495495,0.789473684,5.153153153,,572,28.69,
Organic Social,2024050312,95,123,67,55.20325203,0.705263158,4.943089431,,608,49.37,
Organic Social,2024040819,94,114,64,51.21052632,0.680851064,4.271929825,,487,79.14,
Organic Social,2024041016,94,126,58,44.64285714,0.617021277,3.888888889,,490,34.52,
Organic Social,2024041419,94,105,74,66.2952381,0.787234043,6.333333333,,665,60.33,
Organic Social,2024042915,94,120,70,57.2,0.744680851,5.15,,618,65.7,
Direct,2024041223,93,117,46,47.15384615,0.494623656,4.547008547,,532,34.26,
Organic Social,2024041816,93,127,73,64.18110236,0.784946237,5.968503937,,758,63.69,
Organic Social,2024041917,93,128,52,30.3203125,0.559139785,3.890625,,498,42.07,
Organic Social,2024042419,93,113,70,82.49557522,0.752688172,4.96460177,,561,57.94,
Organic Social,2024042614,93,115,74,93.03478261,0.795698925,5.930434783,,682,58.01,
Organic Social,2024042717,93,117,58,43.23076923,0.623655914,4.170940171,,488,52.15,
Organic Social,2024042917,93,114,68,201.5877193,0.731182796,4.684210526,,534,25.42,
Organic Social,2024050319,93,117,61,48.82051282,0.655913978,4.641025641,,543,70.12,
Organic Search,2024042212,92,102,65,60.29411765,0.706521739,4.509803922,,460,39.25,
Organic Social,2024041015,92,120,68,52.90833333,0.739130435,5.233333333,,628,31.19,
Organic Social,2024041116,92,129,64,42.75193798,0.695652174,5.100775194,,658,22.45,
Organic Social,2024041418,92,108,64,41.77777778,0.695652174,4.851851852,,524,55.45,
Organic Social,2024041817,92,127,67,92.75590551,0.72826087,6.047244094,,768,60.65,
Organic Social,2024041821,92,115,57,42.50434783,0.619565217,4.452173913,,512,21,
Organic Social,2024041920,92,122,64,58.29508197,0.695652174,4.352459016,,531,50.73,
Organic Social,2024042019,92,104,61,64.125,0.663043478,5.711538462,,594,33.59,
Organic Social,2024042515,92,112,67,52.10714286,0.72826087,4.991071429,,559,58.71,
Organic Social,2024042618,92,114,60,100.3421053,0.652173913,4.201754386,,479,30.46,
Direct,2024041123,91,106,55,39.09433962,0.604395604,4.216981132,,447,61.46,
Direct,2024041720,91,113,53,53.5840708,0.582417582,4.469026549,,505,43.2,
Organic Social,2024040818,91,115,58,51.4173913,0.637362637,5.069565217,,583,76.2,
Organic Social,2024041600,91,148,53,21.95945946,0.582417582,4.081081081,,604,28.25,
Organic Social,2024042913,91,108,64,58.35185185,0.703296703,4.861111111,,525,40.46,
Organic Social,2024043017,91,109,57,64.03669725,0.626373626,4.660550459,,508,26.81,
Organic Social,2024050111,91,106,62,51.40566038,0.681318681,5.41509434,,574,75.48,
Organic Social,2024040820,90,116,56,46.87068966,0.622222222,4.724137931,,548,72.64,
Organic Social,2024040915,90,126,57,49.98412698,0.633333333,4.738095238,,597,35.48,
Organic Social,2024041100,90,145,53,35.46206897,0.588888889,4.034482759,,585,59.6,
Organic Social,2024041815,90,102,65,81.07843137,0.722222222,6.480392157,,661,69.03,
Organic Social,2024042321,90,107,66,41.54205607,0.733333333,4.981308411,,533,53.31,
Organic Social,2024042613,90,102,61,68.8627451,0.677777778,4.647058824,,474,51.78,
Organic Social,2024043023,90,114,54,63.80701754,0.6,5.5,,627,34.51,
Organic Social,2024040719,89,116,68,41.62068966,0.764044944,5.051724138,,586,25.59,
Organic Social,2024040720,89,115,65,69.19130435,0.730337079,5.252173913,,604,73.83,
Organic Social,2024041214,89,106,68,61.18867925,0.764044944,4.669811321,,495,74.03,
Organic Social,2024041317,89,116,56,51.44827586,0.629213483,4.439655172,,515,57.99,
Organic Social,2024041611,89,106,67,51.48113208,0.752808989,5.5,,583,40.34,
Organic Social,2024041811,89,104,62,71.17307692,0.696629213,5.461538462,,568,40.95,
Organic Social,2024043011,89,108,67,51.85185185,0.752808989,5.231481481,,565,63.56,
Organic Social,2024041918,88,114,50,55.09649123,0.568181818,4.50877193,,514,73.83,
Organic Social,2024042417,88,116,62,49.68965517,0.704545455,4.784482759,,555,73.23,
Organic Social,2024042523,88,112,64,61.20535714,0.727272727,4.705357143,,527,66.79,
Organic Social,2024042623,88,118,58,51.11864407,0.659090909,4.483050847,,529,58.52,
Organic Social,2024043010,88,100,66,83.41,0.75,6.32,,632,25.05,
Organic Social,2024043012,88,104,65,57,0.738636364,5.173076923,,538,29.7,
Organic Social,2024050200,88,129,49,19.79069767,0.556818182,4.372093023,,564,73.91,
Organic Social,2024050210,88,100,63,78.34,0.715909091,5.71,,571,56.39,
Organic Search,2024041819,87,99,59,35.26262626,0.67816092,3.636363636,,360,20.55,
Organic Search,2024041821,87,107,53,43.63551402,0.609195402,3.439252336,,368,26.09,
Organic Social,2024040718,87,110,50,22.90909091,0.574712644,4.081818182,,449,59.81,
Organic Social,2024040811,87,104,69,89.27884615,0.793103448,5.394230769,,561,20.3,
Organic Social,2024042210,87,105,68,74.2952381,0.781609195,5.019047619,,527,29.65,
Organic Social,2024042421,87,101,54,50.55445545,0.620689655,4.95049505,,500,52.92,
Organic Social,2024042820,87,107,57,43.97196262,0.655172414,5.252336449,,562,61.51,
Organic Social,2024050115,87,110,59,48.69090909,0.67816092,4.281818182,,471,59.12,
Organic Social,2024050309,87,104,65,64.36538462,0.747126437,5.759615385,,599,33.46,
Direct,2024041716,86,95,49,49.55789474,0.569767442,4.347368421,,413,62.73,
Direct,2024041821,86,95,55,42.48421053,0.639534884,4.621052632,,439,34.23,
Direct,2024042518,86,102,56,40.81372549,0.651162791,4.529411765,,462,39.52,
Organic Social,2024040721,86,95,58,53.96842105,0.674418605,4.589473684,,436,64.79,
Organic Social,2024041523,86,110,62,40.31818182,0.720930233,3.918181818,,431,58.98,
Organic Social,2024041616,86,112,61,50.35714286,0.709302326,4.892857143,,548,70.95,
Organic Social,2024041923,86,101,52,59.47524752,0.604651163,5.683168317,,574,59.46,
Organic Social,2024042513,86,105,62,41.26666667,0.720930233,4.923809524,,517,54.1,
Organic Social,2024040810,85,104,66,100.2980769,0.776470588,5.490384615,,571,25.62,
Organic Social,2024040813,85,116,64,57.43103448,0.752941176,4.887931034,,567,42.06,
Organic Social,2024041117,85,103,60,35.14563107,0.705882353,4.553398058,,469,35.91,
Organic Social,2024041522,85,103,59,49.6407767,0.694117647,5.019417476,,517,34.64,
Organic Social,2024041618,85,102,58,60.79411765,0.682352941,5.725490196,,584,78.38,
Organic Social,2024041919,85,116,53,38.42241379,0.623529412,4.155172414,,482,43.59,
Organic Social,2024042212,85,95,65,69.58947368,0.764705882,5.115789474,,486,73.52,
Organic Social,2024042412,85,102,65,80.17647059,0.764705882,4.950980392,,505,57.87,
Organic Social,2024042921,85,102,70,101.6078431,0.823529412,7.098039216,,724,67.69,
Organic Social,2024050113,85,106,55,55.32075472,0.647058824,4.396226415,,466,50.16,
Organic Social,2024050301,85,108,67,40.73148148,0.788235294,5.398148148,,583,54.61,
Referral,2024050211,85,95,71,207.5684211,0.835294118,7.231578947,,687,49.55,
Direct,2024041721,84,96,52,44.33333333,0.619047619,4.552083333,,437,31.71,
Direct,2024041818,84,98,44,33.63265306,0.523809524,4.142857143,,406,63.35,
Direct,2024041819,84,90,56,38.97777778,0.666666667,6.155555556,,554,36.85,
Organic Search,2024041515,84,96,49,47.33333333,0.583333333,4.333333333,,416,21.46,
Organic Search,2024041722,84,97,56,29.26804124,0.666666667,3.567010309,,346,58.73,
Organic Social,2024040611,84,111,62,50.76576577,0.738095238,4.756756757,,528,30.63,
Organic Social,2024040711,84,103,63,49.33009709,0.75,5.708737864,,588,76.43,
Organic Social,2024040712,84,101,62,46.28712871,0.738095238,5.514851485,,557,77.24,
Organic Social,2024041011,84,102,59,53.00980392,0.702380952,5.156862745,,526,74.89,
Organic Social,2024041420,84,94,56,79.93617021,0.666666667,6.308510638,,593,42.21,
Organic Social,2024041610,84,104,58,62.05769231,0.69047619,4.990384615,,519,20.93,
Organic Social,2024042110,84,124,49,17.45967742,0.583333333,3.822580645,,474,75.7,
Organic Social,2024042200,84,130,64,41.9,0.761904762,5.269230769,,685,45.69,
Referral,2024050311,84,95,73,152.9368421,0.869047619,7.915789474,,752,78,
Direct,2024041712,83,90,51,37.07777778,0.614457831,4.266666667,,384,77.82,
Direct,2024041714,83,90,52,55.01111111,0.626506024,4.344444444,,391,71.18,
Organic Search,2024042315,83,92,57,59.77173913,0.686746988,4.010869565,,369,37.67,
Organic Social,2024040621,83,110,50,28.67272727,0.602409639,4.145454545,,456,43.11,
Organic Social,2024041217,83,100,57,64.61,0.686746988,4.72,,472,71.07,
Organic Social,2024041415,83,101,58,47.66336634,0.698795181,4.762376238,,481,39.02,
Organic Social,2024041422,83,101,52,55.96039604,0.626506024,5.267326733,,532,30.17,
Organic Social,2024041911,83,104,57,47.28846154,0.686746988,4.730769231,,492,53.41,
Organic Social,2024042700,83,125,57,31.576,0.686746988,3.728,,466,76.17,
Organic Social,2024042720,83,102,55,41.08823529,0.662650602,4.039215686,,412,61.76,
Organic Social,2024050212,83,98,63,57.26530612,0.759036145,5.06122449,,496,54.2,
Direct,2024041513,82,99,46,28.72727273,0.56097561,4.666666667,,462,25.83,
Direct,2024042517,82,86,54,32.98837209,0.658536585,4,,344,56.9,
Organic Search,2024041815,82,95,58,41.58947368,0.707317073,4.094736842,,389,79.4,
Organic Search,2024041822,82,85,53,69.65882353,0.646341463,4.235294118,,360,28.41,
Organic Search,2024041911,82,95,59,48.83157895,0.719512195,3.989473684,,379,51.1,
Organic Social,2024040916,82,108,52,52.10185185,0.634146341,10.34259259,,1117,72.64,
Organic Social,2024041114,82,103,59,50.2038835,0.719512195,4.524271845,,466,64.45,
Organic Social,2024041319,82,106,64,60.67924528,0.780487805,6.198113208,,657,61.82,
Organic Social,2024041615,82,110,54,61.5,0.658536585,4.427272727,,487,62.15,
Organic Social,2024041921,82,110,52,53.05454545,0.634146341,4.827272727,,531,41.57,
Organic Social,2024042021,82,98,56,60.66326531,0.682926829,5.316326531,,521,37.62,
Organic Social,2024042111,82,105,53,42.07619048,0.646341463,4.485714286,,471,68.56,
Organic Social,2024042400,82,125,55,26.288,0.670731707,4.488,,561,68.61,
Organic Social,2024050112,82,102,62,54.07843137,0.756097561,4.862745098,,496,72.02,
Organic Social,2024050219,82,99,59,53.42424242,0.719512195,5.131313131,,508,74.79,
Direct,2024050122,81,96,53,76.10416667,0.654320988,4.260416667,,409,50.68,
Organic Search,2024040815,81,86,48,97.8255814,0.592592593,5.104651163,,439,50.09,
Organic Social,2024040919,81,105,54,36.06666667,0.666666667,4.60952381,,484,67.9,
Organic Social,2024041411,81,100,50,48.36,0.617283951,4.85,,485,59,
Organic Social,2024041417,81,93,55,42.52688172,0.679012346,4.913978495,,457,62.12,
Organic Social,2024041619,81,102,57,59.20588235,0.703703704,5.715686275,,583,67.75,
Organic Social,2024042000,81,139,58,16.4028777,0.716049383,3.589928058,,499,73.4,
Organic Social,2024042411,81,99,57,58.05050505,0.703703704,5.686868687,,563,40.28,
Organic Social,2024042509,81,108,57,40.0462963,0.703703704,4.712962963,,509,42.53,
Organic Social,2024042723,81,95,51,32.53684211,0.62962963,4.578947368,,435,25.64,
Organic Social,2024050218,81,107,59,68.77570093,0.728395062,5.61682243,,601,54.7,
Referral,2024041715,81,91,57,107.0989011,0.703703704,5.714285714,,520,22.16,
Direct,2024041718,80,96,48,67.07291667,0.6,4.208333333,,404,47.94,
Organic Search,2024041512,80,91,54,51.42857143,0.675,4.054945055,,369,52.56,
Organic Search,2024041721,80,88,45,36.875,0.5625,4.329545455,,381,37.19,
Organic Search,2024041919,80,95,57,41.32631579,0.7125,3.905263158,,371,55.45,
Organic Social,2024040613,80,97,55,50.40206186,0.6875,5.020618557,,487,21.83,
Organic Social,2024041215,80,92,52,56.41304348,0.65,5.304347826,,488,22.24,
Organic Social,2024041219,80,93,53,62.86021505,0.6625,5.172043011,,481,69.36,
Organic Social,2024041621,80,97,53,70.55670103,0.6625,6.463917526,,627,41.61,
Organic Social,2024041914,80,95,58,42.88421053,0.725,4.863157895,,462,27.62,
Organic Social,2024050217,80,99,55,49.04040404,0.6875,5.565656566,,551,51.33,
Organic Social,2024050323,80,98,58,26.20408163,0.725,4.326530612,,424,66.2,
Referral,2024041821,80,85,58,90.56470588,0.725,6.047058824,,514,32.95,
Direct,2024041521,79,99,48,39.57575758,0.607594937,4.444444444,,440,57.37,
Direct,2024041621,79,89,53,37.70786517,0.670886076,4.258426966,,379,25.12,
Direct,2024041822,79,102,46,30.37254902,0.582278481,4.735294118,,483,23.1,
Organic Search,2024040811,79,87,57,62.14942529,0.721518987,4.16091954,,362,51.88,
Organic Search,2024041514,79,90,45,57.88888889,0.569620253,3.644444444,,328,52.44,
Organic Social,2024040816,79,112,58,35.69642857,0.734177215,4.866071429,,545,58.25,
Organic Social,2024040822,79,102,57,36.66666667,0.721518987,4.078431373,,416,63.57,
Organic Social,2024041019,79,103,55,42.62135922,0.696202532,4.689320388,,483,78.55,
Organic Social,2024041118,79,89,55,44.06741573,0.696202532,4.584269663,,408,50.98,
Organic Social,2024041218,79,95,58,51.52631579,0.734177215,5.2,,494,39.38,
Organic Social,2024041822,79,101,61,53.97029703,0.772151899,5.564356436,,562,67.71,
Organic Social,2024041910,79,106,49,32.32075472,0.620253165,4.367924528,,463,36.25,
Organic Social,2024042322,79,105,58,53.15238095,0.734177215,5.152380952,,541,46.34,
Organic Social,2024042423,79,100,51,61.11,0.64556962,5.41,,541,24.71,
Referral,2024043016,79,89,60,101.4269663,0.759493671,6.898876404,,614,21.52,
Referral,2024050312,79,88,65,120.1477273,0.82278481,5.772727273,,508,77.76,
Direct,2024042922,78,93,42,67.13978495,0.538461538,5.35483871,,498,70.16,
Direct,2024050223,78,87,42,41.25287356,0.538461538,4.632183908,,403,61.76,
Organic Search,2024041615,78,87,52,66.11494253,0.666666667,4.252873563,,370,44.54,
Organic Search,2024041820,78,88,53,34.21590909,0.679487179,3.534090909,,311,30.4,
Organic Social,2024040713,78,91,56,48.24175824,0.717948718,5.428571429,,494,29.39,
Organic Social,2024040911,78,96,59,240,0.756410256,4.979166667,,478,35.01,
Organic Social,2024040917,78,105,51,28.86666667,0.653846154,4.514285714,,474,52.95,
Organic Social,2024041222,78,104,50,56.43269231,0.641025641,5.346153846,,556,62.88,
Organic Social,2024041316,78,110,54,48.41818182,0.692307692,4.536363636,,499,59.61,
Organic Social,2024041612,78,94,60,66.70212766,0.769230769,4.978723404,,468,36.8,
Organic Social,2024041814,78,94,57,73.25531915,0.730769231,5.936170213,,558,77.29,
Organic Social,2024041912,78,102,51,58.12745098,0.653846154,4.450980392,,454,64.27,
Organic Social,2024042512,78,91,52,52.53846154,0.666666667,5.351648352,,487,53.26,
Organic Social,2024042716,78,120,53,28.29166667,0.679487179,3.475,,417,56.7,
Organic Social,2024050314,78,91,62,69.72527473,0.794871795,5.21978022,,475,45.18,
